SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
1998bw,50952.6,24.3,50931,21.6,0.05917808219,0.008499,4.18E+28,Archival Ibc,real,Ic
1998bw,50954.6,24.7,50931,23.6,0.06465753425,0.008499,4.25E+28,Archival Ibc,real,Ic
1998bw,50956.9,27.6,50931,25.9,0.07095890411,0.008499,4.74E+28,Archival Ibc,real,Ic
1998bw,50957.8,29.5,50931,26.8,0.07342465753,0.008499,5.07E+28,Archival Ibc,real,Ic
1998bw,50959.8,30,50931,28.8,0.07890410959,0.008499,5.16E+28,Archival Ibc,real,Ic
1998bw,50961,30,50931,30,0.08219178082,0.008499,5.16E+28,Archival Ibc,real,Ic
1998bw,50963.9,30.3,50931,32.9,0.0901369863,0.008499,5.21E+28,Archival Ibc,real,Ic
1998bw,50965.7,28.6,50931,34.7,0.09506849315,0.008499,4.92E+28,Archival Ibc,real,Ic
1998bw,50967.8,27,50931,36.8,0.1008219178,0.008499,4.64E+28,Archival Ibc,real,Ic
1998bw,50969.8,24.6,50931,38.8,0.1063013699,0.008499,4.23E+28,Archival Ibc,real,Ic
1998bw,50971,24.1,50931,40,0.1095890411,0.008499,4.14E+28,Archival Ibc,real,Ic
1998bw,50976.7,20.7,50931,45.7,0.1252054795,0.008499,3.56E+28,Archival Ibc,real,Ic
1998bw,50982.7,16.3,50931,51.7,0.1416438356,0.008499,2.80E+28,Archival Ibc,real,Ic
1998bw,50988.7,14,50931,57.7,0.1580821918,0.008499,2.41E+28,Archival Ibc,real,Ic
1998bw,50995.7,11.4,50931,64.7,0.177260274,0.008499,1.96E+28,Archival Ibc,real,Ic
1998bw,50998.7,11.1,50931,67.7,0.1854794521,0.008499,1.91E+28,Archival Ibc,real,Ic
1998bw,51011.5,6.3,50931,80.5,0.2205479452,0.008499,1.08E+28,Archival Ibc,real,Ic
1998bw,51018.7,5,50931,87.7,0.2402739726,0.008499,8.59E+27,Archival Ibc,real,Ic
1998bw,51024.4,4,50931,93.4,0.255890411,0.008499,6.88E+27,Archival Ibc,real,Ic
1998bw,51033.8,4.3,50931,102.8,0.2816438356,0.008499,7.39E+27,Archival Ibc,real,Ic
1998bw,51045.8,3.2,50931,114.8,0.3145205479,0.008499,5.50E+27,Archival Ibc,real,Ic
1998bw,51057.8,3.4,50931,126.8,0.3473972603,0.008499,5.84E+27,Archival Ibc,real,Ic
1998bw,51080.5,2.5,50931,149.5,0.4095890411,0.008499,4.30E+27,Archival Ibc,real,Ic
1998bw,51123.4,3.1,50931,192.4,0.5271232877,0.008499,5.33E+27,Archival Ibc,real,Ic
1998bw,51179.2,1.1,50931,248.2,0.68,0.008499,1.89E+27,Archival Ibc,real,Ic
1998bw,51251,0.6,50931,320,0.8767123288,0.008499,1.03E+27,Archival Ibc,real,Ic
1998bw,51721,0.3,50931,790,2.164383562,0.008499,5.16E+26,Archival Ibc,real,Ic
IIavg,,,,,0.02,,5e+25,II average,real,
IIavg,,,,,0.08,,4e+26,II average,real,
IIavg,,,,,0.5,,5e+26,II average,real,
IIavg,,,,,1.36,,2e+26,II average,real,
IIavg,,,,,3.5,,8e+25,II average,real,
IIavg,,,,,20.5,,2e+25,II average,real,
Ibcavg,,,,,0.01,,1.2e+26,Ib/c average,real,
Ibcavg,,,,,0.03,,8.8e+26,Ib/c average,real,
Ibcavg,,,,,0.1,,1.3e+27,Ib/c average,real,
Ibcavg,,,,,0.5,,7.6e+26,Ib/c average,real,
Ibcavg,,,,,1,,2.3e+26,Ib/c average,real,
IInavg,,,,,1.15,,4.5e+27,IIn average,real,
IInavg,,,,,1.89,,1.1e+28,IIn average,real,
IInavg,,,,,3.139,,2.239e+28,IIn average,real,
IInavg,,,,,4,,3.5e+27,IIn average,real,
IInavg,,,,,10.5,,1.2e+27,IIn average,real,
