name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aceqrrs,58429.939,ZTF18aceqrrs_VLASS2.1,59048.0,VLASS2.1,0.42,0.151,618.0610000000015,SN Ic,0.0848,upper_limit,8.016804778848149e+28,4.026803661743681e+26,1.6933178082191822
ZTF18aceqrrs,58429.939,ZTF18aceqrrs_VLASS3.1,59969.0,VLASS3.1,0.462,0.145,1539.0610000000015,SN Ic,0.0848,upper_limit,8.818485256732963e+28,1.8974021716682482e+27,4.216605479452059
ZTF18achcpwu,58445.879,ZTF18achcpwu_VLASS2.1,59071.0,VLASS2.1,0.245,0.127,625.1209999999992,SN Ic,0.0552,upper_limit,1.9020564350526366e+28,4.1089930245377133e+26,1.7126602739726005
ZTF18achcpwu,58445.879,ZTF18achcpwu_VLASS3.1,60011.0,VLASS3.1,0.329,0.119,1565.1209999999992,SN Ic,0.0552,upper_limit,2.5541900699278264e+28,1.94473223581156e+27,4.288002739726025
ZTF18acisruf,58431.619,ZTF18acisruf_VLASS1.2v2,58603.0,VLASS1.2v,0.427,0.169,171.38100000000122,SN Ib/c,0.02,upper_limit,4.135203708571143e+27,4.0930320650515175e+25,0.4695369863013732
ZTF18acisruf,58431.619,ZTF18acisruf_VLASS2.2,59520.0,VLASS2.2,0.438,0.121,1088.3810000000012,SN Ib/c,0.02,upper_limit,4.2417312045764873e+27,1.0575678788481973e+27,2.981865753424661
ZTF18acnmifq,58440.829,ZTF18acnmifq_VLASS2.1,59119.0,VLASS2.1,0.461,0.145,678.1710000000021,SN IIb,0.073,upper_limit,6.416670409085553e+28,4.737945726015462e+26,1.8580027397260332
ZTF18acnmifq,58440.829,ZTF18acnmifq_VLASS3.1,59998.0,VLASS3.1,0.306,0.121,1557.171000000002,SN IIb,0.073,upper_limit,4.259221573058956e+28,1.9301840520513486e+27,4.266221917808225
ZTF18acnncve,58437.829,ZTF18acnncve_VLASS1.2v2,58610.0,VLASS1.2v,0.338,0.12,172.1710000000021,SN Ib,0.0445,upper_limit,1.6795677750266682e+28,4.128296808328973e+25,0.4717013698630194
ZTF18acnncve,58437.829,ZTF18acnncve_VLASS2.2,59552.0,VLASS2.2,0.263,0.119,1114.171000000002,SN Ib,0.0445,upper_limit,1.3068826178461943e+28,1.1001482678410836e+27,3.0525232876712387
ZTF18acqphpd,58455.899,ZTF18acqphpd_VLASS1.2v2,58598.0,VLASS1.2v,0.382,0.118,142.1010000000024,SN Ic,0.037,upper_limit,1.2981544112886846e+28,2.8095724658231086e+25,0.3893178082191846
ZTF18acqphpd,58455.899,ZTF18acqphpd_VLASS2.2,59548.0,VLASS2.2,0.355,0.1,1092.1010000000024,SN Ic,0.037,upper_limit,1.206400041904406e+28,1.0641940601400774e+27,2.992057534246582
ZTF18acqxyiq,58437.839,ZTF18acqxyiq_VLASS1.2v2,58641.0,VLASS1.2v,0.382,0.163,203.1610000000001,SN IIb,0.03849,upper_limit,1.4078514753607252e+28,5.63330089094654e+25,0.5566054794520551
