name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abesqnb,58310.579,ZTF18abesqnb_VLASS3.1,59998.0,VLASS3.1,0.553,0.241,1687.421000000002,SN II,0.07,upper_limit,7.048330238866068e+28,1.1918462764632316e+28,4.623071232876718
ZTF18abffyqp,58298.599,ZTF18abffyqp_VLASS1.2v2,58607.0,VLASS1.2v,0.403,0.112,308.400999999998,SN II,0.03130,upper_limit,9.719534344600328e+27,1.7875918134161037e+27,0.844934246575337
ZTF18abffyqp,58298.599,ZTF18abffyqp_VLASS2.2,59520.0,VLASS2.2,0.364,0.117,1221.400999999998,SN II,0.03130,upper_limit,8.77893424673578e+27,7.251282222611627e+27,3.3463041095890356
ZTF18abfzixe,58317.649,ZTF18abfzixe_VLASS2.1,59109.0,VLASS2.1,0.632,0.12,791.3510000000024,SN IIP,0.034,detection,1.8056741736310343e+28,6.024394924088e+27,2.168084931506856
ZTF18abgladq,58305.549,ZTF18abgladq_VLASS1.2v2,58584.0,VLASS1.2v,0.661,0.197,278.45100000000093,SN IIP,0.0356,upper_limit,2.075284651113712e+28,1.5543208261401817e+27,0.7628794520547971
ZTF18abgladq,58305.549,ZTF18abgladq_VLASS2.2,59533.0,VLASS2.2,0.538,0.169,1227.451000000001,SN IIP,0.0356,upper_limit,1.6891121668671364e+28,7.284979752358972e+27,3.362879452054797
ZTF18abimhfu,58312.569,ZTF18abimhfu_VLASS2.1,59109.0,VLASS2.1,0.262,0.127,796.4309999999969,SN II,0.05,upper_limit,1.6565974836134578e+28,6.05044824384269e+27,2.182002739726019
ZTF18abimhfu,58312.569,ZTF18abimhfu_VLASS3.1,59962.0,VLASS3.1,0.297,0.125,1649.4309999999969,SN II,0.05,upper_limit,1.8778986741725075e+28,1.1611556282230619e+28,4.518989041095882
ZTF18abjkryl,58313.649,ZTF18abjkryl_VLASS1.2v2,58565.0,VLASS1.2v,0.446,0.123,251.3510000000024,SN II,0.0154,upper_limit,2.5433263466471986e+27,1.338475483700382e+27,0.6886328767123353
ZTF18abjovdz,58314.779,ZTF18abjovdz_VLASS2.1,59051.0,VLASS2.1,0.486,0.174,736.2209999999977,SN II,0.024,upper_limit,6.817818500359902e+27,5.750122866255262e+27,2.017043835616432
ZTF18abklbam,58327.549,ZTF18abklbam_VLASS2.1,59045.0,VLASS2.1,0.391,0.139,717.4510000000009,SN II,0.03,upper_limit,8.646571120396441e+27,5.60543807891633e+27,1.9656191780821943
ZTF18ablqehq,58338.539,ZTF18ablqehq_VLASS1.2v2,58588.0,VLASS1.2v,0.443,0.139,249.4609999999957,SN IIn,0.03069,upper_limit,1.026269314732456e+28,1.3223318431305606e+27,0.6834547945205361
ZTF18ablqehq,58338.539,ZTF18ablqehq_VLASS2.2,59532.0,VLASS2.2,0.339,0.11,1193.4609999999957,SN IIn,0.03069,upper_limit,7.853392724476356e+27,7.083815032600754e+27,3.26975616438355
ZTF18abltfho,58352.539,ZTF18abltfho_VLASS2.1,59104.0,VLASS2.1,0.284,0.113,751.4609999999957,SN IIn,0.055,upper_limit,2.1882660213033815e+28,5.850590114794108e+27,2.058797260273961
ZTF18abltfho,58352.539,ZTF18abltfho_VLASS3.1,60012.0,VLASS3.1,0.279,0.136,1659.4609999999957,SN IIn,0.055,upper_limit,2.1497402110691676e+28,1.1707994128026275e+28,4.546468493150673
ZTF18abmdpwe,58353.589,ZTF18abmdpwe_VLASS1.2v2,58588.0,VLASS1.2v,0.552,0.185,234.4110000000001,SN II,0.018,upper_limit,4.317164196793183e+27,1.2242349650338861e+27,0.6422219178082195
ZTF18abnzlai,58342.789,ZTF18abnzlai_VLASS1.2v2,58557.0,VLASS1.2v,0.314,0.125,214.2109999999957,SN IIP,0.055,upper_limit,2.4194208827086684e+28,1.0902714789571304e+27,0.5868794520547828
ZTF18abnzlai,58342.789,ZTF18abnzlai_VLASS2.2,59528.0,VLASS2.2,0.395,0.139,1185.2109999999957,SN IIP,0.055,upper_limit,3.043539008502943e+28,7.031670654696857e+27,3.2471534246575224
ZTF18abqyvzy,58366.739,ZTF18abqyvzy_VLASS1.2v2,58641.0,VLASS1.2v,0.489,0.158,274.2609999999986,SN II,0.0148,upper_limit,2.573163930577636e+27,1.5182856398514428e+27,0.7513999999999962
ZTF18abrlljc,58356.599,ZTF18abrlljc_VLASS2.1,59104.0,VLASS2.1,0.321,0.151,747.400999999998,SN IIP,0.05,upper_limit,2.029648061984427e+28,5.836037527741232e+27,2.0476739726027344
ZTF18abrlljc,58356.599,ZTF18abrlljc_VLASS3.1,59998.0,VLASS3.1,0.29,0.115,1641.400999999998,SN IIP,0.05,upper_limit,1.8336384360606975e+28,1.1534502090780671e+28,4.496989041095885
ZTF18abrzbtb,58424.829,ZTF18abrzbtb_VLASS1.2v2,58612.0,VLASS1.2v,0.323,0.113,187.1710000000021,SN IIP,0.0187,upper_limit,2.729315543002658e+27,8.970059165577796e+26,0.5127972602739783
