SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN1997X,50485,1.256,Ib/c,50473,0.03287671233,12,6.82E+26,old_poor,real
SN1997X,52929,0.123,Ib/c,50473,6.728767123,2456,6.68E+25,old_poor,real
SN2001ci,52066,1.166,Ic,52020,0.1260273973,46,3.75E+26,old_poor,real
SN2001ci,52435,0.133,Ic,52020,1.136986301,415,4.28E+25,old_poor,real
SN2004C,53043,2.154,Ic,52996,0.1287671233,47,2.74E+27,old_poor,real
SN2004C,54919,0.71,Ic,52996,5.268493151,1923,9.03E+26,old_poor,real
SN2007C,54111,0.825,Ib,54097,0.03835616438,14,5.09E+26,old_poor,real
SN2007C,54139,0.25,Ib,54097,0.1150684932,42,1.54E+26,old_poor,real
SN1987F,47882,0.43,IIn,46876,2.756164384,1006,3.26E+27,old_rich,real
SN1987F,47935,0.18,IIn,46876,2.901369863,1059,1.36E+27,old_rich,real
SN1987F,48239,0.18,IIn,46876,3.734246575,1363,1.36E+27,old_rich,real
SN1987F,49008,0.09,IIn,46876,5.84109589,2132,6.82E+26,old_rich,real
SN1993N,49401,0.11,IIn,49092,0.8465753425,309,3.32E+26,old_rich,real
SN1993N,50471,0.186,IIn,49092,3.778082192,1379,5.61E+26,old_rich,real
SN1994W,49586,0.146,IIn-P,49563,0.06301369863,23,1.13E+26,old_rich,real
SN1994W,49975,0.167,IIn-P,49563,1.128767123,412,1.29E+26,old_rich,real
SN1994W,51479,0.171,IIn-P,49563,5.249315068,1916,1.32E+26,old_rich,real
SN1994W,51479,0.171,IIn-P,49563,5.249315068,1916,1.32E+26,old_rich,real
SN1996ae,50245,0.292,IIn,50109,0.3726027397,136,1.38E+26,old_rich,real
SN1996ae,50312,0.279,IIn,50109,0.5561643836,203,1.32E+26,old_rich,real
SN1996ae,50379,0.165,IIn,50109,0.7397260274,270,7.82E+25,old_rich,real
SN1996ae,51346,0.193,IIn,50109,3.389041096,1237,9.14E+25,old_rich,real
SN1996bu,50421,0.162,IIn,50401,0.05479452055,20,2.06E+25,old_rich,real
SN1996bu,51480,0.129,IIn,50401,2.956164384,1079,1.64E+25,old_rich,real
SN1997ab,50714,0.125,IIn,50184,1.452054795,530,4.35E+26,old_rich,real
SN1997ab,50854,0.251,IIn,50184,1.835616438,670,8.72E+26,old_rich,real
SN1997ab,50973,0.193,IIn,50184,2.161643836,789,6.71E+26,old_rich,real
SN1998S,50964,0.097,IIn,50872,0.2520547945,92,2.58E+25,old_rich,real
SN1998S,50973,0.129,IIn,50872,0.2767123288,101,3.43E+25,old_rich,real
SN1998S,51105,0.175,IIn,50872,0.6383561644,233,4.65E+25,old_rich,real
SN1998S,51479,1.08,IIn,50872,1.663013699,607,2.87E+26,old_rich,real
SN1998S,51934,0.775,IIn,50872,2.909589041,1062,2.06E+26,old_rich,real
SN1998S,53033,0.679,IIn,50872,5.920547945,2161,1.80E+26,old_rich,real
SN1998S,54248,0.19,IIn,50872,9.249315068,3376,5.05E+25,old_rich,real
SN1999el,51479,0.101,IIn,51471,0.02191780822,8,6.45E+25,old_rich,real
SN1999el,51834,0.145,IIn,51471,0.9945205479,363,9.26E+25,old_rich,real
SN2000P,51689,0.378,IIn,51611,0.2136986301,78,4.12E+26,old_rich,real
SN2000P,51834,0.09,IIn,51611,0.6109589041,223,9.82E+25,old_rich,real
SN2005kd,53695,0.454,IIn,53684,0.0301369863,11,2.62E+27,old_rich,real
SN2005kd,53695,1.011,IIn,53684,0.0301369863,11,5.83E+27,old_rich,real
SN2005kd,53725,0.362,IIn,53684,0.1123287671,41,2.09E+27,old_rich,real
SN2005kd,53725,0.99,IIn,53684,0.1123287671,41,5.71E+27,old_rich,real
SN2005kd,54371,0.16,IIn,53684,1.882191781,687,9.22E+26,old_rich,real
SN1982F,45943,1.16,IIP,45024,2.517808219,919,5.34E+25,old_rich,real
SN1982F,46057,0.18,IIP,45024,2.830136986,1033,8.28E+24,old_rich,real
SN1985G,46192,0.212,IIP,46141,0.1397260274,51,1.11E+26,old_rich,real
SN1985G,46309,0.675,IIP,46141,0.4602739726,168,3.53E+26,old_rich,real
SN1985G,46779,0.623,IIP,46141,1.747945205,638,3.26E+26,old_rich,real
SN1985H,46192,0.155,II,46167,0.06849315068,25,4.75E+25,old_rich,real
SN1985H,47192,0.3,II,46167,2.808219178,1025,9.19E+25,old_rich,real
SN1987K,47052,2.6,IIb,47007,0.1232876712,45,8.47E+26,old_rich,real
SN1987K,47882,0.634,IIb,47007,2.397260274,875,2.07E+26,old_rich,real
SN1987K,49401,0.225,IIb,47007,6.55890411,2394,7.33E+25,old_rich,real
SN1989L,47884,0.254,II,47650,0.6410958904,234,1.47E+26,old_rich,real
SN1989L,47938,0.162,II,47650,0.7890410959,288,9.38E+25,old_rich,real
SN1989L,48016,0.204,II,47650,1.002739726,366,1.18E+26,old_rich,real
SN1990K,48041,0.149,II,48025,0.04383561644,16,9.76E+25,old_rich,real
SN1990K,49023,0.114,II,48025,2.734246575,998,7.47E+25,old_rich,real
